job_id,job_title,job_category,company,city,experience,exp_min,exp_max,exp_bucket,skills,skill_count,posted_date,job_url,scraped_at
292d47621506,Senior Machine Learning Engineer,ML Engineer,Quantiphi Analytics Solutions,Mumbai,3-6 Yrs,3.0,6.0,3-5 Years (Mid),Agentic Ai | Gemini Api | Multimodal Development | Agent Development Kit | Vertex Ai | Bigquery Optimization | Senior Machine Learning Engineer | Mcp,8,3 weeks ago,https://www.naukri.com/job-listings-senior-machine-learning-engineer-quantiphi-analytics-solutions-bengaluru-mumbai-all-areas-3-to-6-years-010526000375,2026-06-03T20:43:26.976227
de539131b3b6,Lead Software Engineer - SD /OTC,Other,Capgemini,Mumbai,9-14 Yrs,9.0,14.0,6-10 Years (Senior),Software Engineer | Mm | Sap | Issue Resolution | Sap Modules | Sap Sd | Business Processes | Sales,8,Few hours ago,https://www.naukri.com/job-listings-lead-software-engineer-sd-otc-capgemini-technology-services-india-limited-mumbai-gandhinagar-bengaluru-9-to-14-years-030626928927,2026-06-03T20:43:26.977749
f76894f64528,Lead Software Engineer - TM Functional,Other,Capgemini,Mumbai,5-8 Yrs,5.0,8.0,3-5 Years (Mid),Software Engineer | Sap Erp | Erp | Sap | Transportation | Data Management | Research | Order Management,8,1 day ago,https://www.naukri.com/job-listings-lead-software-engineer-tm-functional-capgemini-technology-services-india-limited-mumbai-pune-bengaluru-5-to-8-years-020626924789,2026-06-03T20:43:26.979227
74344a88a1cc,Custom Software Engineer,Other,Accenture,Navi Mumbai,3-8 Yrs,3.0,8.0,3-5 Years (Mid),Software Engineer | Version Control | Business Processes | Atci-5431962-S1983193 | SQL | Web Development Frameworks | Database Management | Java,8,2 days ago,https://www.naukri.com/job-listings-custom-software-engineer-accenture-solutions-pvt-ltd-navi-mumbai-3-to-8-years-010626913078,2026-06-03T20:43:26.980229
1129d1192dcd,Custom Software Engineer,Other,Accenture,Navi Mumbai,3-8 Yrs,3.0,8.0,3-5 Years (Mid),Software Engineer | Version Control | Business Processes | SQL | Web Development Frameworks | Database Management | Java | Git,8,2 days ago,https://www.naukri.com/job-listings-custom-software-engineer-accenture-solutions-pvt-ltd-navi-mumbai-3-to-8-years-010626913074,2026-06-03T20:43:26.981659
06ca3bdbde7e,Custom Software Engineer,Other,Accenture,Navi Mumbai,3-8 Yrs,3.0,8.0,3-5 Years (Mid),Software Engineer | Version Control | Business Processes | Atci-5431958-S1983129 | SQL | Web Development Frameworks | Database Management | Java,8,2 days ago,https://www.naukri.com/job-listings-custom-software-engineer-accenture-solutions-pvt-ltd-navi-mumbai-3-to-8-years-010626913071,2026-06-03T20:43:26.983809
5360758cc3b2,Custom Software Engineer,Other,Accenture,Navi Mumbai,3-8 Yrs,3.0,8.0,3-5 Years (Mid),Software Engineer | Version Control | Business Processes | SQL | Web Development Frameworks | Database Management | Java | Git,8,2 days ago,https://www.naukri.com/job-listings-custom-software-engineer-accenture-solutions-pvt-ltd-navi-mumbai-3-to-8-years-010626913069,2026-06-03T20:43:26.984829
695686be7d63,SOFTWARE ENGINEER,Other,Godigi Infotech,Mumbai,0-1 Yrs,0.0,1.0,0-2 Years (Fresher),Backend | Front End | Coding | PostgreSQL | MySQL | Data Structures | Troubleshooting | Sdlc,8,3+ weeks ago,https://www.naukri.com/job-listings-software-engineer-godigi-infotech-mumbai-0-to-1-years-241125505885,2026-06-03T20:43:26.985822
51ee13767b50,SOFTWARE TESTING ENGINEER,Other,Godigi Infotech,Mumbai,0-1 Yrs,0.0,1.0,0-2 Years (Fresher),Software Testing | Manual Testing | Analytical | Banking | Database | Sdlc | Stlc | Testing,8,3+ weeks ago,https://www.naukri.com/job-listings-software-testing-engineer-godigi-infotech-mumbai-0-to-1-years-191023500354,2026-06-03T20:43:26.986823
70ddcca44df8,Deep Learning Engineer,Deep Learning Engineer,CareerFit.ai,Gurgaon,3-8 Yrs,3.0,8.0,3-5 Years (Mid),Career Development | Computer Vision | C++ | MySQL | Machine Learning | Data Structures | Application Development,7,1 week ago,https://www.naukri.com/job-listings-deep-learning-engineer-careerfit-ai-gurugram-3-to-8-years-220526501397,2026-06-03T20:43:39.433039
